No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
188,60 microns (IRAS),103.8,+/-4   %,Jy,5.0E12,104.0,4.15,4.15,,,+/-4.15E+00,Jy,1990IRASF.C...0000M,uncertainty,60        microns,Broad-band measurement,153246.8 +234007 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
189,60 microns (IRAS),103.33,+/-0.144,Jy,5.0E12,103.0,0.144,0.144,,,+/-1.44E-01,Jy,1989AJ.....98..766S,rms noise,60         microns,Broad-band measurement,153246.3 +234008 (B1950),Integrated from scans,Unresolved with 1.44' beam,From reprocessed raw data
190,60 microns (ISO),113.35,+/-30  %,Jy,4.93E12,113.0,34.0,34.0,,,+/-3.40E+01,Jy,2001A&A...379..823K,uncertainty,60         microns,Broad-band measurement,,Flux integrated from map,"Aperture 46"" x 46""",From new raw data
191,63 microns (ISO),148.1,+/-15.0,Jy,4.76E12,148.0,15.0,15.0,,,+/-1.50E+01,Jy,2008ApJS..178..280B,uncertainty,63 microns,Broad-band measurement,15 34 57.34 +23 30 11.9 (J2000),Flux integrated from map,,From new raw data
192,88 microns (ISO),151.4,+/-18.7,Jy,3.41E12,151.0,18.7,18.7,,,+/-1.87E+01,Jy,2008ApJS..178..280B,uncertainty,88 microns,Broad-band measurement,15 34 57.34 +23 30 11.9 (J2000),Flux integrated from map,,From new raw data
193,90 microns (ISO),111.5,+/-30  %,Jy,3.15E12,112.0,33.5,33.5,,,+/-3.35E+01,Jy,2001A&A...379..823K,uncertainty,90         microns,Broad-band measurement,,Flux integrated from map,"Aperture 46"" x 46""",From new raw data
194,100 microns (IRAS),115.29,+/-0.138,Jy,3.0E12,115.0,0.138,0.138,,,+/-1.38E-01,Jy,2003AJ....126.1607S,1 sigma,100   microns,Broad-band measurement,15 34 57.1 +23 30 10 (J2000),Total flux,"Size, Method, Flag codes: UT;see paper",From reprocessed raw data
195,100 microns (IRAS),113.95,+/-0.207,Jy,3.0E12,114.0,0.207,0.207,,,+/-2.07E-01,Jy,1989AJ.....98..766S,rms noise,100        microns,Broad-band measurement,153246.3 +234008 (B1950),Integrated from scans,Unresolved with 2.94' beam,From reprocessed raw data
196,100 microns (IRAS),112.4,+/-3   %,Jy,3.0E12,112.0,3.37,3.37,,,+/-3.37E+00,Jy,1990IRASF.C...0000M,uncertainty,100       microns,Broad-band measurement,153246.8 +234007 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
197,120 microns (ISO),109.0,+/-30  %,Jy,2.52E12,109.0,32.7,32.7,,,+/-3.27E+01,Jy,2001A&A...379..823K,uncertainty,120        microns,Broad-band measurement,,Flux integrated from map,"Aperture 184"" x 184""",From new raw data
198,120 microns (ISO),117.3,+/-0.20,Jy,2.52E12,117.0,0.2,0.2,,,+/-2.00E-01,Jy,2002ApJ...572..105S,1 sigma uncert.,119.0      microns,Broad-band measurement,,From fitting to map,,From new raw data
199,122 microns (ISO),118.4,+/-9.5,Jy,2.46E12,118.0,9.5,9.5,,,+/-9.50E+00,Jy,2008ApJS..178..280B,uncertainty,122 microns,Broad-band measurement,15 34 57.34 +23 30 11.9 (J2000),Flux integrated from map,,From new raw data
200,145 microns (ISO),100.2,+/-10.1,Jy,2.07E12,100.0,10.1,10.1,,,+/-1.01E+01,Jy,2008ApJS..178..280B,uncertainty,145 microns,Broad-band measurement,15 34 57.34 +23 30 11.9 (J2000),Flux integrated from map,,From new raw data
201,158 microns (ISO),84.5,+/-8.5,Jy,1.9E12,84.5,8.5,8.5,,,+/-8.50E+00,Jy,2008ApJS..178..280B,uncertainty,158 microns,Broad-band measurement,15 34 57.34 +23 30 11.9 (J2000),Flux integrated from map,,From new raw data
202,150 microns (ISO),79.4,+/-0.27,Jy,1.86E12,79.4,0.27,0.27,,,+/-2.70E-01,Jy,2002ApJ...572..105S,1 sigma uncert.,161.0      microns,Broad-band measurement,,From fitting to map,,From new raw data
203,150 microns (ISO),87.89,+/-30  %,Jy,1.86E12,87.9,26.4,26.4,,,+/-2.64E+01,Jy,2001A&A...379..823K,uncertainty,150        microns,Broad-band measurement,,Flux integrated from map,"Aperture 184"" x 184""",From new raw data
